,Train_MAE,Train_RMSE,MAE,RMSE,
131,9.051099343,18.05927815,16.65384863,26.12492892,
132,8.638076641,16.60937813,58.78654601,139.9784102,
133,8.797802394,17.50234602,32.61175121,57.69175729,
134,9.092671882,18.07718589,28.20150165,44.28448551,
135,8.598402865,17.55520019,38.14614243,65.61273815,
136,3.08E-06,1.37E-05,41.88522482,63.17273843,
137,9.647050938,19.32024756,22.9363387,38.95335152,
138,9.250501085,17.98603267,16.54018621,33.02564221,
139,8.50435285,16.24014924,30.18280935,52.51308943,
140,6.746459663,13.21589175,30.72935713,46.23372231,
141,7.14881309,13.16164861,46.21782467,151.870609,
142,8.802085654,16.65011516,24.14822839,44.17125115,
143,8.768292284,17.90464726,26.96495267,55.11129209,
144,9.305165783,20.08478911,48.85329159,119.909645,
145,8.502223275,16.83893067,34.12481775,74.11525657,
146,8.923910474,18.6306547,37.49546268,71.68300189,
147,9.248615453,17.85187483,40.59672371,70.41298715,
148,9.355565574,18.4620863,17.58386783,24.71446434,
149,4.803194807,9.636119824,34.51953343,54.17891108,
150,4.381232505,7.868851602,30.30431613,48.56577965,
151,9.189058666,17.08252133,36.83215934,68.51939544,
152,8.758788745,17.76694356,23.35833646,39.175865,
153,8.123485303,14.99658705,28.81325545,42.81406706,
154,8.542405762,16.66417958,35.71786953,79.74876781,
155,8.133299856,16.30229837,49.2875159,120.6669402,
156,6.844737219,13.4732406,31.27449347,55.10629685,
157,9.19595039,18.08392588,22.65200269,30.00607977,
158,8.349833212,16.12512005,31.25609536,49.73115932,
159,9.434461775,17.76235818,41.64005407,112.5866799,
160,7.477613962,14.63446246,43.7638723,81.51886751,
161,9.27797677,17.88817889,35.36080005,64.57802906,
162,9.232034624,17.95858335,27.43163909,45.08430784,
163,6.35481367,12.57061171,23.00182915,33.20127993,
164,9.737463172,18.58046942,34.6124636,111.4747754,
165,8.945376213,18.08311869,47.25270625,82.87296783,
166,9.485310767,18.55395439,23.32243024,32.546593,
167,8.472987123,16.8573403,22.61247519,37.90714853,
168,7.98037761,16.67390539,37.49561935,76.83430232,
169,9.19219559,17.97336398,33.35650819,59.5624026,
170,7.370979589,14.36764524,54.60653509,119.5146073,
171,8.237241164,15.92411856,30.11576746,55.9987484,
172,8.288764569,16.13651511,26.45558126,46.60310717,
173,8.387586033,16.25620494,26.38035696,55.32566526,
174,9.852457694,19.67790034,20.54147095,30.02357625,
175,8.596335272,16.81101285,34.57805495,68.1458047,
176,6.0793112,11.66498515,24.0306255,44.06026658,
177,9.219248333,18.14265026,16.24370474,27.04982436,
178,9.195644152,18.28699817,37.26664628,72.1288962,
179,8.764413017,17.29545678,36.72729627,111.857965,
180,7.687423677,15.16066783,50.78373816,167.3187676,
181,9.847535402,19.1432835,21.39876305,34.90284286,
182,7.767821159,15.21212369,29.62964979,56.48227853,
183,8.895607679,17.12169807,23.87116556,38.828495,
184,8.309210984,15.97462163,36.15476633,59.64851583,
185,8.656427585,15.72797801,51.50252602,155.7992726,
186,8.660572439,17.79094251,30.86547679,49.44709633,
187,8.551663562,16.91807905,34.01334449,56.79702773,
188,8.963608498,18.09824083,30.78080181,60.57823261,
189,7.295738711,13.9426225,34.92563083,51.56410389,
190,8.458726409,16.253559,31.60733666,61.79472685,
191,8.779001019,17.33745076,22.03139198,39.59380874,
192,8.934277987,17.15544734,28.72138184,60.45660721,
193,7.988776369,16.03547613,26.92167638,44.67924749,
194,9.032601231,17.43061584,29.64589541,65.33368889,
195,8.677248119,16.65554591,35.81245962,68.11207338,
196,9.331769919,18.48080673,22.28737132,44.8591179,
197,8.938694481,17.52739028,29.48254774,46.61698073,
198,7.361796515,14.31765338,26.44306221,50.28821456,
199,8.208217883,16.47195901,34.63412511,56.28708873,
200,8.150526544,15.17809365,62.02233604,126.5599949,
201,8.326853559,15.94592631,27.1705859,48.92300293,
202,8.629852254,16.64824752,33.2320322,58.47715354,
203,7.156390913,14.82135708,37.22892095,68.32379403,
204,8.365105246,16.58854018,37.38554933,72.78968901,
205,9.13076465,17.6435572,29.01213918,60.36511652,
206,9.41722916,19.1222652,35.95261897,65.9650157,
207,8.962570689,17.34580434,24.41096869,36.55267264,
208,7.10017281,13.53360346,47.01010298,88.25748942,
209,8.215920766,15.27718441,25.4081107,47.73518871,
210,8.228818192,16.27944594,28.71373063,51.0401734,
211,6.452584599,12.58119321,44.70733279,89.35916775,
212,8.062396628,16.14146385,38.01551389,63.65155567,
213,6.113952666,11.99796171,29.93578472,43.48929971,
214,9.583914066,19.02667663,17.94953341,24.48915912,
215,10.21417129,19.94011006,19.42714926,27.92975973,
216,9.246278195,17.12647093,41.86008359,67.39701053,
217,9.499612707,18.62248118,32.24460543,62.85933267,
218,7.440568393,14.50716272,35.21546776,50.28967733,
219,8.261153789,15.66152733,63.23798068,178.1128177,
220,9.763631066,19.21562983,20.91128848,35.12849165,
221,9.330686203,17.5862912,20.55469185,35.72952118,
222,9.347560416,18.69826646,24.07384509,38.24288046,
223,9.826848231,18.80838134,18.8302856,26.39031054,
224,9.378649823,19.23047147,51.75384002,118.0199002,
225,6.231646502,12.19355807,24.98356088,43.96912839,
226,9.004240457,17.78423838,19.74281563,28.59370395,
227,6.401004675,11.4060869,42.23408136,66.73795999,
228,8.158878978,15.46694828,54.03993073,169.069588,
229,6.433201424,12.57378872,27.2489581,46.88538805,
230,9.727392243,19.29316754,38.0242779,61.48002394,
231,8.315395209,16.79142015,47.85940068,88.49915775,
232,5.109013091,9.824618105,34.2792772,50.58780838,
233,8.712827806,17.02507781,26.43556743,40.20719538,
234,8.30063933,17.17909817,28.54062334,39.96553048,
235,8.026913486,16.0769188,39.04390238,63.60555824,
236,6.444735891,12.27006247,29.94621671,46.60272708,
237,7.623691676,15.5966063,28.463236,51.66583863,
238,10.03298841,19.28648079,24.56415612,40.50834856,
239,8.937344971,17.96582834,31.88362741,53.87705749,
240,8.562675228,16.12776292,29.44530801,58.26499788,
241,9.305475315,18.52308779,39.79559636,80.1550756,
242,9.545278271,19.42814438,25.90153189,43.5016684,
243,8.640762574,16.09296146,47.26247905,116.2068565,
244,9.800456109,19.16142072,14.71074389,20.7062444,
245,7.885039313,15.04163293,43.73877764,92.78445666,
246,8.275791691,15.64865456,30.36076028,51.64740523,
247,7.871706476,14.90770563,39.08431115,79.57015135,
248,8.20379657,16.1039344,24.03808255,31.48371746,
249,5.636520478,10.74666628,48.51057034,116.2392867,
250,8.601625411,16.82480772,40.94698238,117.9923078,
251,8.384757773,16.49310568,32.45788424,43.4086898,
252,8.806176413,16.71088504,31.74135307,48.84035567,
253,8.971550396,17.67953975,28.88988916,53.52167531,
254,6.134678714,12.16294405,32.44182547,46.41705094,
255,9.375524314,18.01901266,32.16506888,54.12989099,
256,9.416747968,18.55867806,17.55043169,29.96702021,
257,7.735124631,15.33236557,39.76165031,73.59824927,
258,4.791307776,8.471523174,41.60242609,71.0548488,
259,9.535395616,18.13653789,52.36111162,170.8042609,
260,5.472940276,10.62212767,37.32823146,67.79708184,
261,8.752663443,17.08162137,30.66442513,53.441406,
262,9.110476457,18.05121924,49.86586727,118.9720768,
263,10.95847965,21.26919231,18.93891039,31.25476957,
264,1.258912269,2.153929121,75.68855736,208.6726247,
265,7.693861582,15.06298996,42.19643446,81.22883177,
266,7.895369714,15.26776738,29.68595667,55.47084852,
267,9.248004141,18.0736476,39.58259182,84.55927605,
268,9.064055472,17.28248855,25.46094402,52.53227265,
269,8.682789371,16.56133911,24.50460603,46.75753779,
270,9.30203561,18.60296384,21.83739787,39.0330781,
271,9.827656286,19.95548329,23.61982394,34.23316067,
272,9.039977831,16.51892139,49.87560824,162.624026,
273,7.93048997,15.78561614,47.56282342,88.04493101,
274,9.46298664,19.40065167,32.4810367,68.45296125,
275,8.111557486,15.66600757,33.01356341,58.71361326,
276,9.721284308,19.56252609,26.53577943,55.66311906,
277,9.082931649,17.56340237,27.38535474,38.26689865,
278,10.23918721,19.69284361,18.41569213,27.2698075,
279,8.764691963,17.70489908,28.48616955,55.79462421,
280,9.18668209,18.31311525,37.6782038,84.9291557,
281,8.780537993,16.20889017,33.35289217,58.04398617,
282,8.435894481,16.93959756,38.71391133,81.86374821,
283,8.536096332,16.94777121,27.83769991,58.08601122,
284,9.543714531,18.80270388,18.83634134,30.80891408,
285,8.752993175,16.36269397,40.44890757,85.64579374,
286,8.382946292,16.63083823,46.3065466,98.50652031,
287,8.287277777,16.06015062,23.07111525,45.91292787,
288,10.09283283,19.5711339,18.55629127,26.0439137,
289,7.03207278,13.29917191,30.75483796,54.99383108,
290,8.455903056,16.37018099,38.44108528,71.08905285,
291,8.160839908,15.61673862,56.83517826,115.5486246,
292,9.000098855,17.18073745,33.13196994,77.74217718,
293,8.566764596,16.60660584,38.05727921,69.61990565,
294,9.227607809,18.06232147,26.68447925,56.05927099,
295,9.270184392,18.38557058,36.33900101,69.37209461,
296,7.943978391,14.88440754,26.43458095,52.27989744,
297,8.163674492,15.9284206,39.90311867,79.57062491,
298,9.562363999,18.6306493,25.30762111,36.70357003,
299,9.113947695,18.22921063,33.14365452,57.72528972,
300,8.375854535,16.02734612,33.2264047,49.4162102,
301,8.518308821,16.66899028,36.13042918,72.10121527,
302,8.550288368,17.02842284,34.82246738,67.53071656,
303,9.996756606,19.74291669,25.35737633,41.20156643,
304,7.129132851,13.4920919,37.11691953,79.4388269,
305,8.322265493,15.76271089,29.91521165,61.40727888,
306,7.685758053,14.91147432,35.7612419,58.79747245,
307,7.687271424,14.42513031,30.51544142,47.55387353,
308,7.664585498,14.45191387,36.26586129,56.44184485,
309,8.871419204,17.65175243,28.4329571,42.15195911,
310,9.927281105,18.45049355,25.17588898,42.3887831,
311,8.436073395,16.59224265,21.65034656,36.54484741,
312,9.897800034,20.06436628,42.55038101,77.32147476,
313,7.808763349,15.39742875,43.25880547,88.77011536,
314,8.172922509,15.67224333,25.04188181,39.3539134,
315,9.27787411,16.86401826,24.38377427,48.86684937,
316,9.030707858,17.6284451,30.25341465,59.50762009,
317,4.645987464,9.201685172,20.99451788,28.86951077,
318,9.158139613,18.11048535,23.14682376,43.08015989,
319,7.833470844,15.49854758,42.67600736,80.16233857,
320,9.763230009,18.80850421,27.23178226,49.23410001,
321,8.084806872,16.68108285,47.88180814,88.99828443,
322,9.533954228,18.15177655,30.92397861,56.98978627,
323,8.248830357,15.29900361,45.25195259,89.32464897,
324,8.12714474,15.68153171,37.64650205,82.11935089,
325,9.196561793,18.00577585,29.82928854,62.24014139,
326,9.265639889,17.03840532,32.43215703,71.97488784,
327,8.373193416,16.65890799,44.94833052,117.3438199,
328,8.385206203,16.47526389,49.0302029,94.62412846,
329,7.914116151,14.74931318,60.62780015,148.4012425,
330,7.801543816,15.36288934,22.33778296,36.25308434,
