,Train_MAE,Train_RMSE,MAE,RMSE,SEM(MAE),SEM(RMSE)
141,1.90E-10,2.72E-10,0.316624467,0.474290764,,
142,0.058397938,0.105220913,0.310570133,0.439829947,,
143,2.00E-10,2.97E-10,0.313713148,0.470441289,,
144,0.039594509,0.086983053,0.35713408,0.52340134,,
145,0.049163755,0.096668623,0.275424978,0.367185521,,
146,0.043682484,0.090534277,0.347525211,0.493880564,,
147,1.99E-10,3.07E-10,0.364630526,0.548484158,,
148,0.057221358,0.103938187,0.389136321,0.55357653,,
149,2.38E-10,3.73E-10,0.401342653,0.547741588,,
150,0.036494435,0.085101776,0.401902093,0.531541573,,
151,0.063741521,0.113538778,0.4571238,0.647190257,,
152,0.041015447,0.089290002,0.384619175,0.630410477,,
153,0.042250281,0.090149765,0.444570257,0.706464529,,
154,1.86E-10,2.70E-10,0.372686991,0.617174844,,
155,0.049790612,0.097741233,0.275548817,0.352709216,,
156,0.041465332,0.088800304,0.264118075,0.325329465,,
157,0.041174383,0.088253963,0.334372426,0.470549623,,
158,0.045988973,0.09441095,0.33417732,0.45265977,,
159,0.048192592,0.094973004,0.331157836,0.465178261,,
160,0.03928947,0.086647729,0.22499867,0.346626468,,
161,0.040852603,0.08855562,0.431045441,0.540899018,,
162,2.02E-10,3.07E-10,0.478227225,0.619677252,,
163,0.040979985,0.088617533,0.345094146,0.439232748,,
164,0.040243329,0.087860337,0.396801988,0.592046808,,
165,1.86E-10,2.81E-10,0.305865648,0.447486978,,
166,0.036713288,0.084713348,0.474181795,0.635160479,,
167,0.04472478,0.092293248,0.243005313,0.349248012,,
168,0.042070187,0.08988499,0.323607191,0.412917971,,
169,0.045956176,0.093391144,0.319598167,0.484039684,,
170,0.043647937,0.090574249,0.371772304,0.495207855,,
171,0.040700482,0.088267296,0.273244631,0.379286683,,
172,0.045481185,0.09219946,0.235316918,0.29446092,,
173,1.85E-10,2.73E-10,0.346074453,0.576439192,,
174,0.046202108,0.091917972,0.291752072,0.416090337,,
175,2.18E-10,3.22E-10,0.321718038,0.448901811,,
176,1.86E-10,2.75E-10,0.428771719,0.590158966,,
177,0.041971026,0.089940346,0.361376125,0.507916381,,
178,0.041315355,0.088467513,0.26809636,0.383466554,,
179,0.050773505,0.096435622,0.328775995,0.427437292,,
180,2.16E-10,3.40E-10,0.334156152,0.487879334,,
181,0.039832431,0.088015222,0.384564015,0.509934528,,
182,1.91E-10,2.81E-10,0.358841607,0.516457641,,
183,0.040304851,0.087533328,0.393450744,0.552428143,,
184,0.046971787,0.093156011,0.419396274,0.668845273,,
185,2.35E-10,3.48E-10,0.463904697,0.706996604,,
186,0.054433592,0.101606361,0.411654563,0.506620757,,
187,0.050680026,0.096159084,0.221343789,0.295201689,,
188,0.045410822,0.092551976,0.265005034,0.356519699,,
189,0.039538025,0.087329753,0.335065561,0.427529505,,
190,0.037836225,0.085945974,0.440500623,0.55836887,,
191,2.25E-10,3.46E-10,0.322018941,0.452727469,,
192,0.036874301,0.084943655,0.373111771,0.498589189,,
193,0.04025775,0.088234467,0.518223799,0.711275081,,
194,0.039017782,0.086150479,0.336943191,0.476007875,,
195,0.044562609,0.092568979,0.336825386,0.422999817,,
196,2.01E-10,3.01E-10,0.381811903,0.649741088,,
197,0.06252594,0.110980228,0.288695138,0.365308448,,
198,0.04578914,0.092330071,0.244363313,0.356107206,,
199,0.048786424,0.095458072,0.412633442,0.689617598,,
200,0.036148238,0.084229051,0.321937094,0.479163496,,
201,0.042683159,0.089610764,0.296856785,0.430732002,,
202,0.042294484,0.089224302,0.272016802,0.397271241,,
203,0.041120235,0.087645117,0.328520821,0.478184063,,
204,0.037522334,0.085352285,0.463700562,0.591887075,,
205,0.039060874,0.086404477,0.445326306,0.589023013,,
206,2.41E-10,3.59E-10,0.416776888,0.561537179,,
207,0.044061853,0.091650142,0.285195996,0.354372016,,
208,0.051987385,0.097864804,0.258960412,0.353381917,,
209,0.039896597,0.087689162,0.351327281,0.484527874,,
210,0.050537223,0.097256618,0.345895136,0.52205097,,
211,2.35E-10,3.68E-10,0.580852358,0.830890536,,
212,0.040011176,0.087020479,0.292868626,0.431855986,,
213,0.04323209,0.089376039,0.351174059,0.527320089,,
214,0.04351094,0.091028188,0.406618339,0.627244349,,
215,0.043564063,0.090152553,0.242876548,0.350888653,,
216,0.052793785,0.101511019,0.411788866,0.602248004,,
217,1.90E-10,2.98E-10,0.374530731,0.556303425,,
218,0.043892596,0.09027013,0.306534732,0.416898135,,
219,1.97E-10,2.91E-10,0.497949032,0.733349553,,
220,0.039620396,0.087979074,0.382356857,0.504165268,,
221,0.045891825,0.091605494,0.293934,0.402935802,,
222,2.01E-10,2.86E-10,0.412033901,0.637613098,,
223,0.046822552,0.093076553,0.357550505,0.498491926,,
224,0.037892517,0.085845009,0.416942045,0.541536506,,
