Molecule,A1,A2,Reduced mass,Electronic state,Te (cm^{-1}),omega_e (cm^{-1}),omega_ex_e (cm^{-1}),Be (cm^{-1}),alpha_e (cm^{-1}),De (10^{-7}cm^{-1}),Re (\AA),D0 (eV),IP (eV),Reference,Date of reference,Notes
SrI,87.62,126.904,51.83256176,X $^2 \Sigma^{+}$,0,173.769,0.35,0.0374,,0.0656,2.974,2.9,5.62,"[1]- J.O. Schroder, � C. Nitsch, W.E. Ernst, Polarization spectroscopy of SrI in a heat pipe-The  $B \ {}^2 \Sigma_{+} \ \leftrightarrow X \ {}^2 \Sigma^{+}$ (0,0) system, J. Mol. Spectrosc. 132 (1988) 166�177. 
[2]- W.E. Ernst, J.O. Schroder, � B. Zeller, Rotational analysis and deperturbation of the SrI $A \ {}^2 \Pi \ \leftrightarrow X \ {}^2 \Sigma^{+}$ (0,0) system, J. Mol. Spectrosc. 135 (1989) 161�168. 
[3] S. Antrobus, D. Husain, J. Lei, F. Castano, � M.N. Sanchez Rayo, Kinetic study of the molecular chemiluminescence SrI (A2 ?1/2, 3/2 and B2 ?+?X2 ?+) and the atomic resonance fluorescence Sr (53P1 ? 51 S0) following the pulsed dye-laser generation of Sr (53 P1) in the presence of CH3I, Zeitschrift f�r Physikalische Chemie 190 (1995) 267�287. 
[4] A. Bernard, C. Effantin, J. d�Incan, A. Topouzkhanian, G. Wannous, Laser-excited fluorescence spectra of strontium monoiodide, J. Mol. Spectrosc. 195 (1999) 11�21. 
[5] J.A. Kerr, K.P. Huber, G. Herzberg, Molecular spectra and molecular structure: IV constants of diatomic molecules, Anal. Chim. Acta. 144 (1982) 628�629.  
[6] Chase, M.W., Jr., NIST-JANAF Thermochemical Tables, Fourth Edition, J. Phys. Chem. Ref. Data, Monograph 9, 1998, 1-1951. 
[7] Belyaev, V.N.; Gotkis, I.S.; Lebedeva, N.L.; Krasnov, K.S., Ionization potentials of MX molecules 
(M = Ca, Sr, Ba; X = F, Cl, Br, I, OH, O), Russ. J. Phys. Chem., 1990, 64, 773.",[1] 1988 [2] 1989 [3] 1995 [4] 1999 [5] 1982 [6] 1998 [7] 1990,For the ground state the centrifugal distortion constant D_0 is reported instead of D_e
SrI,87.62,126.904,51.83256176,A $^2 \Pi$,14591.39,178.527,0.3773,0.0372,,0.06471,2.9524,2.9,5.62,"[1]- J.O. Schroder, � C. Nitsch, W.E. Ernst, Polarization spectroscopy of SrI in a heat pipe-The  $B \ {}^2 \Sigma_{+} \ \leftrightarrow X \ {}^2 \Sigma^{+}$ (0,0) system, J. Mol. Spectrosc. 132 (1988) 166�177. 
[2]- W.E. Ernst, J.O. Schroder, � B. Zeller, Rotational analysis and deperturbation of the SrI $A \ {}^2 \Pi \ \leftrightarrow X \ {}^2 \Sigma^{+}$ (0,0) system, J. Mol. Spectrosc. 135 (1989) 161�168. 
[3] S. Antrobus, D. Husain, J. Lei, F. Castano, � M.N. Sanchez Rayo, Kinetic study of the molecular chemiluminescence SrI (A2 ?1/2, 3/2 and B2 ?+?X2 ?+) and the atomic resonance fluorescence Sr (53P1 ? 51 S0) following the pulsed dye-laser generation of Sr (53 P1) in the presence of CH3I, Zeitschrift f�r Physikalische Chemie 190 (1995) 267�287. 
[4] A. Bernard, C. Effantin, J. d�Incan, A. Topouzkhanian, G. Wannous, Laser-excited fluorescence spectra of strontium monoiodide, J. Mol. Spectrosc. 195 (1999) 11�21. 
[5] J.A. Kerr, K.P. Huber, G. Herzberg, Molecular spectra and molecular structure: IV constants of diatomic molecules, Anal. Chim. Acta. 144 (1982) 628�629.  
[6] Chase, M.W., Jr., NIST-JANAF Thermochemical Tables, Fourth Edition, J. Phys. Chem. Ref. Data, Monograph 9, 1998, 1-1951. 
[7] Belyaev, V.N.; Gotkis, I.S.; Lebedeva, N.L.; Krasnov, K.S., Ionization potentials of MX molecules 
(M = Ca, Sr, Ba; X = F, Cl, Br, I, OH, O), Russ. J. Phys. Chem., 1990, 64, 773.",[1] 1988 [2] 1989 [3] 1995 [4] 1999 [5] 1982 [6] 1998 [7] 1990,For the ground state the centrifugal distortion constant D_0 is reported instead of D_e
SrI,87.62,126.904,51.83256176,B $^2 \sigma_{+]$,14807.33,183.479,0.471,0.0375,,0.06664,2.9422,2.9,5.62,"[1]- J.O. Schroder, � C. Nitsch, W.E. Ernst, Polarization spectroscopy of SrI in a heat pipe-The  $B \ {}^2 \Sigma_{+} \ \leftrightarrow X \ {}^2 \Sigma^{+}$ (0,0) system, J. Mol. Spectrosc. 132 (1988) 166�177. 
[2]- W.E. Ernst, J.O. Schroder, � B. Zeller, Rotational analysis and deperturbation of the SrI $A \ {}^2 \Pi \ \leftrightarrow X \ {}^2 \Sigma^{+}$ (0,0) system, J. Mol. Spectrosc. 135 (1989) 161�168. 
[3] S. Antrobus, D. Husain, J. Lei, F. Castano, � M.N. Sanchez Rayo, Kinetic study of the molecular chemiluminescence SrI (A2 ?1/2, 3/2 and B2 ?+?X2 ?+) and the atomic resonance fluorescence Sr (53P1 ? 51 S0) following the pulsed dye-laser generation of Sr (53 P1) in the presence of CH3I, Zeitschrift f�r Physikalische Chemie 190 (1995) 267�287. 
[4] A. Bernard, C. Effantin, J. d�Incan, A. Topouzkhanian, G. Wannous, Laser-excited fluorescence spectra of strontium monoiodide, J. Mol. Spectrosc. 195 (1999) 11�21. 
[5] J.A. Kerr, K.P. Huber, G. Herzberg, Molecular spectra and molecular structure: IV constants of diatomic molecules, Anal. Chim. Acta. 144 (1982) 628�629.  
[6] Chase, M.W., Jr., NIST-JANAF Thermochemical Tables, Fourth Edition, J. Phys. Chem. Ref. Data, Monograph 9, 1998, 1-1951. 
[7] Belyaev, V.N.; Gotkis, I.S.; Lebedeva, N.L.; Krasnov, K.S., Ionization potentials of MX molecules 
(M = Ca, Sr, Ba; X = F, Cl, Br, I, OH, O), Russ. J. Phys. Chem., 1990, 64, 773.",[1] 1988 [2] 1989 [3] 1995 [4] 1999 [5] 1982 [6] 1998 [7] 1990,For the ground state the centrifugal distortion constant D_0 is reported instead of D_e
T2,3,3,1.5,X ${ }^{1} \Sigma_{g}^{+} \ 1s \sigma$,0,2546.47,41.23,20.335,0.5887,,0.74142,4.59097,15.4867,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
TaO,181,16,14.70050761,X,0,1028.7,3.5,0.4028,0.0018,,1.687,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
Te2,130,130,13.9884643,$X_1 \ {}^3 \Sigma_{g}^{-} \ L_g$ ,0,247.07,0.5148,0.039681,0.000106,0.044,2.5574,2.677,8.29,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
Te2,130,130,13.9884643,$X_1 \ {}^3 \Sigma_{g}^{-} \ O_{g}^{+}$ ,1974.97,250.033,0.5155,0.03982,0.0001002,,2.553,2.677,8.29,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
Te2,130,130,13.9884643,A  $O^{+}_{u}$,19450.8,143.588,0.4543,0.031238,0.00013,,2.8824,2.677,8.29,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
Te2,130,130,13.9884643,$B_1 \ {}^3 \Sigma_{g}^{-} \ O_{u}^{+}$ ,22207.4,162.32,0.453,0.032535,0.000125,,2.8244,2.677,8.29,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
TeO,130,16,14.24657534,X,0,797.11,4,0.3554,0.00237,2.7,1.825,,8.72,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
