Molecule,A1,A2,Reduced mass,Electronic state,Te (cm^{-1}),omega_e (cm^{-1}),omega_ex_e (cm^{-1}),Be (cm^{-1}),alpha_e (cm^{-1}),De (10^{-7}cm^{-1}),Re (\AA),D0 (eV),IP (eV),Reference,Date of reference,Notes
CrCl,51.996,35.453,21.07987728,X $^6 \Sigma^{+}$,0,396.662,,0.1675873,0.00097171,1.183,2.194,3.75,,"[1] Bencheikh, M., Koivisto, R., Launila, O. and Flament, J., 1997. The low-lying electronic states of CrF and CrCl: Analysis of the A?6?+?X?6?+ system of CrCl. The Journal of Chemical Physics, 106(15), pp.6231-6239. [2] Huber, K. and Herzberg, G., 1979. Molecular spectra and molecular structure, IV. New York: Van Nostrand Reinhold.",[1] 1997 [2] 1979,Delta G1/2 is reported in place of omega_e
CrCl,51.996,35.453,21.07987728,A $^6 \Sigma^{+}$,9271.11,379.39,,0.15651,-0.00012,,2.27,3.75,,"[1] Bencheikh, M., Koivisto, R., Launila, O. and Flament, J., 1997. The low-lying electronic states of CrF and CrCl: Analysis of the A?6?+?X?6?+ system of CrCl. The Journal of Chemical Physics, 106(15), pp.6231-6239. [2] Huber, K. and Herzberg, G., 1979. Molecular spectra and molecular structure, IV. New York: Van Nostrand Reinhold.",[1] 1997 [2] 1980,1- Delta G1/2 is reported in place of omega_e 2-lower B (T_e=8850(?))state might exist look at [3] 
CrF,51.996,18.998,13.9141337,X $^6 \Sigma^{+}$,0,664.105,4.22096,0.3808183,0.00309611,5.0481,1.7839,4.57,,"Wallin, S., Koivisto, R. and Launila, O., 2022.ÊSpectroscopy of CrF: Rotational analysis of the B?6?ÐX?6?+ band system in the 1.2 ?m region.",1996,"1-Please check T_e for ground state (negative value in CrF 1996 and CrF 1995)
2-Please check unit conversion for D_e"
CrF,51.996,18.998,13.9141337,A $^6 \Sigma^{+}$,9623.67,580.52,1.795,0.338567,0.001971,4.39,1.8916,4.57,,"Wallin, S., Koivisto, R. and Launila, O., 2022.ÊSpectroscopy of CrF: Rotational analysis of the B?6?ÐX?6?+ band system in the 1.2 ?m region.",1996,"1-Please check T_e for ground state (negative value in CrF 1996 and CrF 1995)
2-Please check unit conversion for D_e"
CrF,51.996,18.998,13.9141337,B $^6 \Pi$,8134,629.283,,0.3627876,0.0026723,4.7423,1.8277,4.57,,"[1]Wallin, S., Koivisto, R. and Launila, O., 2022.ÊSpectroscopy of CrF: Rotational analysis of the B?6?ÐX?6?+ band system in the 1.2 ?m region. [2] Bencheikh, M., Koivisto, R., Launila, O. and Flament, J., 1997. The low-lying electronic states of CrF and CrCl: Analysis of the A?6?+?X?6?+ system of CrCl. The Journal of Chemical Physics, 106(15), pp.6231-6239.",[1]1996 [2]1997,"1-Please check T_e for ground state (negative value in CrF 1996 and CrF 1995)
2-Please check unit conversion for D_e"
Cs2,133,133,66.452718,$X \ {}^{1}\Sigma_{g}^{+}$ ,0,,,,2.64E-05,,4.47,0.394,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Oct-76,
Cs2,133,133,66.452718,$a \ {}^{3}\Sigma_{u}^{+}$ ,3140,,,,,,,0.394,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Oct-76,
Cs2,133,133,66.452718,$B \ {}^{1}\Pi_{u}^{+} \ l_u$ ,13043.88,34.329,,,,,,0.394,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Oct-76,
Cs2,133,133,66.452718,$C \ {}^{1}\Pi_{u}^{+} \ l_u$ ,15948.6,29.703,0.0576,0.01347,7.85E-05,0.121,4.34,0.394,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Oct-76,
CsBr,133,79,49.56132075,X,0,149.66,0.374,0.03606925,0.000124012,8.3801,3.072251,4.17,7.72,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
CsCl,133,35,27.70833333,X,0,214.17,0.731,0.07209149,0.00033756,0.32675,2.906272,4.58,8.32,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
CSe,12.011,78.96,10.42517462,X,0,1035.36,4.86,0.575,0.00379,7.1,1.67647,5.98,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
CsF,133,19,16.625,X,0,352.56,1.615,0.18436969,0.00117562,0.20168,2.345351,5.15,8.8,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
CsI,133,127,64.96538462,X,0,119.178,0.2505,0.023627357,6.83E-05,3.7146,3.315192,3.56,7.25,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
Cu2,63,63,31.4647949,$X \ ^1\Sigma^+_g$,0,264.55,1.025,0.108743,0.000614,0.716,2.2197,2.03,7.37,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Dec-74,
Cu2,63,63,31.4647949,$A ({}^{1}\Pi_{u})$,20433.2,191.9,0.348,0.08185,0.00062,0.38,2.5584,2.03,7.37,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Dec-74,
Cu2,63,63,31.4647949,$B \ ^1\Sigma^+_u$,21758.35,242.15,2,0.09889,0.000606,0.63,2.3276,2.03,7.37,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Dec-74,
CuCl,65,35,22.75,X,0,415.3,1.58,0.1763,0.001,,2.051,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
D2,2,2,1,X ${ }^{1} \Sigma_{g}^{+} \ 1 s \sigma$,0,3115.5,61.82,30.4436,1.0786,114100,0.74152,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
DT,2,3,1.2,X ,0,2845.52,51.386,25.395,0.8221,80900,0.7414,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
F2,19,19,9.4992023,$X \ ^1\Sigma^+_g$,0,916.64,11.236,0.89019,0.013847,330,1.41193,1.02,15.686,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-67,
F2,19,19,9.4992023,$F \ ^1\Pi_g \ (3 s \sigma)$,93099,1133.34,9.173,1.047,0.012,,1.302,1.02,15.686,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-67,
F2,19,19,9.4992023,$f\left({ }^{3} \Pi_{1 g}\right)(3 s \sigma)$,97314,,,1.005,,,1.329,1.02,15.686,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-67,
F2,19,19,9.4992023,$h \ ^3\Pi_{1u} \ (3p\sigma)$,104904,1100,,1.022,0.016,,1.318,1.02,15.686,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-67,
F2,19,19,9.4992023,$H \ ^1\Pi_{1u} \ (3p\sigma)$,105520.14,1088.19,9.875,1.021,0.014,,1.318,1.02,15.686,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-67,
F2,19,19,9.4992023,I $^{^{1}} \Sigma_{ u }^{+} \ (4 p \pi)$,113841,1108.92,,0.8009,,180,1.4886,1.02,15.686,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-67,
F2,19,19,9.4992023,$J \ ^1\Pi_u \ (4 p \sigma)$,116409,1032.6,,1.041,,,1.306,1.02,15.686,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jul-67,
FeO,55.845,15.999,12.43616941,X,0,970,,,,,1.6,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
FeO,115,81,47.5255102,X,0,221,0.65,0.0548944,0.0001862,1.35,2.54318,3.99,9.09,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
GaBr,69,81,37.26,X,0,263,0.81,0.0818393,0.0003207,0.32,2.35248,4.31,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
GaI,69,127,44.70918367,X,0,216.6,0.5,0.0569347,0.000189,0.157,2.57467,3.47,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
GeS,74,32,22.33962264,X,0,575.8,1.8,0.186565757,0.000749103,0.7883,2.012086,5.67,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
GeSe,74,80,38.44155844,X,0,408.7,1.36,0.096340508,0.00028904,2.2071,2.134629,4.98,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
GeTe,74,130,47.15686275,X,0,323.9,0.75,0.06533821,0.00017246,1.18,2.340165,4.24,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
H2,1,1,0.50391261,$u {}^{3} \mathrm{\Pi}_{\mathrm{u}} 6 \mathrm{p\pi}$,123488,,,29.3,,230000,1.069,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,$t^{d} \hspace{2mm} {}^{3} \Sigma_{u}^{+} \hspace{2mm} 5 f \sigma$,121292,2661.4,121.9,,,,,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,$\mathrm{q}^{\mathrm{d}}\left({ }^{3} \Sigma_{\mathrm{g}}^{+}\right) 5 \mathrm{~d} \sigma$,121295,2172.6,,,,,,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,n $3 \mathrm{\Pi}_{\mathrm{u}} 5 \mathrm{p\pi}$,120952.9,2321.4,62.86,29.95,1.24,230000,1.057,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,$m^{h} \hspace{2mm}{}^{3} \Sigma_{u}^{+} \hspace{2mm}4 f \sigma$,119317,2457.1,,,,,,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,s $3_{\Delta_{g}} \ 4 \mathrm{~d} \delta$,118875.2,2291.7,62.44,,,,,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,$r \quad {}^{3}{\Pi}^{+}_{g} 4 \mathrm{~d} \pi$,118613.7,2280,57.96,,,,,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,$\mathrm{p} \quad { }^{3} {\Sigma}_{g}^{+} 4 \mathrm{~d} \sigma$,118509.8,2303.1,76.9,,,,,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
,,,,,,,,,,,,,,,,
H2,1,1,0.50391261,$\mathrm{k} \quad 3_{\pi}{ }_{u} 4 \mathrm{p} \pi$,118366,2344.37,67.29,30.074,1.462,185000,1.0547,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,f $\ { }^{3} \Sigma_{u}^{+} \ 4 \mathrm{p} \sigma$,116705,,,,,,1.11,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,$o^{t} \ {}^{3}{\Sigma_{u}^{+}}$,114234,2399.1,91,35,,,0.98,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,$l^{u} \ { }^{3} \Pi_{u}$,113825,2596.8,106,36,,,0.96,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,j $\ { }^{3}\Delta_{g} \ 3 d \delta$,113533,,66.56,,1.692,190000,1.0545,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,i ${}^{3}{\Pi}_{g} \ 3 d \pi$,113132,,67.05,,1.506,176000,1.07,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,h ${}^{3} \Sigma_{g}^{+} 3s\sigma$,112913,2268.73,,30.62,,,1.045,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,g ${}^{3} \Sigma_{g}^{+} 3 d \sigma$,112854.4,2290.86,105.43,,,,,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,d ${}^{3}{\Pi}_{u} \ 3 p \pi$,112700.3,2371.58,66.27,30.364,1.545,191000,1.0496,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,e ${ }^{3} \Sigma_{u}^{+} 3 p \sigma$,107774.7,2196.13,65.8,27.3,1.515,,1.107,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,a ${ }^{3} \Sigma_{g}^{+} 2s \sigma$,95936.1,2664.83,71.65,34.216,1.671,216000,0.98879,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,c ${ }^{3} \Pi _{ u } 2 pm$,95838.5,2466.89,63.51,31.07,1.425,195000,1.0376,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,${ T }^{t} \ { }^{1} \Sigma_{g}^{+}$,119512.6,,,25.4,,,1.148,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,$B^ {\prime \prime} \ { }^{1} \Sigma_{u}^{+} \ 4 p \sigma$,117984.5,2197.5,68.136,,,340000,1.1198,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,$N \quad{ }^{I}{\Sigma_{g}^{+}} \ d$,116287,1983.3,,18.4,,,1.35,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,$U \ \left({ }^{1} \Sigma_{g}^{+}\right) \ d$,116707.7,,,18.8,,,1.33,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,$M \ {}^{1}{\Sigma}_g^{+} \ d$,114485,2176,,13,,,1.6,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,$L \ { }^{1}\Sigma_{g}^{+} \ d$,114520,1835,,9.7,,,1.86,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,$H^g \ {}^{1}\Sigma_g^{+} \ 3s\sigma$,113899,2538,124,29.5,,,1.065,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,D ${ }^{1} \Pi_{u} 3?\pi$,113888.7,2359.91,,,,,1.0508,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,${G}^{u} \ { }^{1} \Sigma_{g}^{+} \ 3 d \sigma$,112834,2343.9,,,,,1.085,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,$K ^{ z }\left({ }^{1} \Sigma_{ g }^{+}\right)$,112669,2232.59,30,10.8,,,1.76,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,$Q\left({ }^{1} \Pi_{g}\right)^{a}$,113163,742,,16.3,,,1.43,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,$F \ {}^{1}\Sigma_{g}^{+}\ 2 p \sigma^{2}$,100911,1199,,,,,,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,$B \ { }^{1} {\Sigma}_{u}^{+} \ 2 p \sigma$,91700,1358.09,20.888,,1.1845,162500,1.29282,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H2,1,1,0.50391261,$X \ { }^{1} {\Sigma}_{g}^{+} \ 1 s \sigma^{2}$,0,4401.213,121.336,,3.0622,471000,0.74144,4.47813,15.42589,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H'2,2,2,1.00705111,X ${ }^{1} \Sigma_{g}^{+} \ 1 s \sigma$,0,3115.5,61.82,30.4436,1.0786,114100,0.74152,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H'2,2,2,1.00705111,B ${ }^{1} \Sigma_{g}^{+} \ 2 p \sigma$,91697.2,963.08,11.038,,0.4198,40300,1.28944,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H'2,2,2,1.00705111,C ${ }^{1} \Pi_{u} \ 2p \pi$,100097.2,1729.92,34.917,,0.5679,53200,1.03346,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H'2,2,2,1.00705111,E ${ }^{1} \Sigma_{g}^{+} \ 2s \sigma$,100128.1,1784.42,48.105,16.3696,0.6764,54000,1.01124,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H'2,2,2,1.00705111,B' ${ }^{1} \Sigma_{u}^{+} 3 p \sigma$,111642.2,1451.98,45.679,,0.92,41500,1.1092,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H'2,2,2,1.00705111,"K $\left({ }^{1} \Sigma_{g}^{+}ight)$",112610,1660,,6.6,,,1.59,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H'2,2,2,1.00705111,G ${ }^{1} \Sigma_{g}^{+} \ 3 d \sigma$,112893,1440.8,,,,,,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H'2,2,2,1.00705111,I ${}^1 \Pi _{g} \ 3 d \pi$,113081.5,1600.14,39.42,14.739,0.526,25000,1.0657,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H'2,2,2,1.00705111,D ${ }^{1} \Pi_{ u } \ 3p \pi$,113914,1667.6,33.343,,0.54,50000,1.053,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H'2,2,2,1.00705111,M ${ }^{1} \Sigma_{g}^{+}$,114504.5,,0,,,,2.06,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H'2,2,2,1.00705111,"B"" ${ }^{1} \Sigma_{u}^{+} 4 p \sigma$",117970.7,1563.02,35.416,,0.3842,2400,1.106,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H'2,2,2,1.00705111,D' ${ }^{1} \Pi_{u} \ 4 p \pi$,118887.9,1653.15,33.35,,0.5508,32300,1.055,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H'2,2,2,1.00705111,"D"" ${ }^1 \Pi_{u} 5 \pi$",121227.5,1648.68,33.638,,0.6521,70400,1.0517,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H'2,2,2,1.00705111,c $^3  \Pi_{u} \ 2p \pi$,96731.8,,,15.305,,51400,1.0458,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H'2,2,2,1.00705111,a $^3 \Sigma_{g}^{+} 2 s \sigma$,95958.08,1885.84,35.96,17.109,0.606,55000,0.9891,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H'2,2,2,1.00705111,e $^3 \Sigma_{u}^{+} 3 p \sigma$,107774,1556.64,34.51,13.856,0.451,40000,1.0991,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H'2,2,2,1.00705111,d $^3 \Pi_{u} 3 p \pi$,112729.8,1678.22,32.94,15.2,0.552,49000,1.0494,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H'2,2,2,1.00705111,g $^3 \Sigma_{g}^{+} 3 d \sigma$,112856,1511.3,,,,,,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H'2,2,2,1.00705111,i $^3 \Pi_{g} 3 d \pi$,113093,1541.9,,,,,,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H'2,2,2,1.00705111,f $^3 \Sigma_{ u }^{+} 4 p \sigma$,116640,1618,32.8,14.66,0.62,,1.069,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H'2,2,2,1.00705111,k $^3 \Pi_{u} \ 4 p \pi$,118396.7,1658.85,33.88,15.075,0.566,46000,1.0538,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H'2,2,2,1.00705111,n $^3 \Pi_{u} \ 5 p \pi$,120976.9,1652.73,34.25,15.04,0.56,53000,1.055,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H'2,2,2,1.00705111,u $^3 \Pi_{u} \ 6 p \pi$,122365.6,1649.03,35.13,15.036,0.587,53000,1.0551,4.5532,15.4666,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H''2,3,3,1.50802486,X ${ }^{1} \Sigma_{g}^{+} \ 1s \sigma$,0,,,,,,0.74142,4.59097,15.4867,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H''2,3,3,1.50802486,E ${}^1 \Sigma_{g}^{+} \ 2 s \sigma$,100136.7,1454.18,30.52,10.9306,0.3659,24030,1.01128,4.59097,15.4867,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H''2,3,3,1.50802486,e ${}^3 \Sigma_{u}^{+} \ 3 p \sigma$,107770.8,1272.28,23.03,9.2056,0.2803,18870,1.10197,4.59097,15.4867,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H''2,3,3,1.50802486,d ${ }^{3} \Pi_{u} \ 3 p \pi$,112736,1372.11,22.135,10.15,0.305,21700,1.0494,4.59097,15.4867,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H''2,3,3,1.50802486,f ${}^3 \Sigma_{u}^{+} \ 4 p \sigma$,116653,1278,,9.9,0.3,,1.063,4.59097,15.4867,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H''2,3,3,1.50802486,k ${}^3 \Pi_{u} \ 4 p \pi$,118403.2,1355.39,22.026,10.053,0.296,22000,1.0545,4.59097,15.4867,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
H''2,3,3,1.50802486,n ${ }^{3} \Pi_{u} \ 5 p \pi$,120984.3,1348.89,22.52,10.021,0.294,22000,1.0562,4.59097,15.4867,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
HD,1,2,0.666666667,X $1^sigma^{+}_{g}$,0,3813.15,91.65,45.655,1.986,260500,0.74142,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
He2,4,4,2.00130163,X ${ }^{1} \Sigma_{g}^{+}$,0,,,,,9000,2.97,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,A $^{1} \Sigma_{u}^{+} \ 2 s \sigma$,146365,1861.33,35.28,7.7789,0.2166,5440,1.0406,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,B $^1 \Pi_{g} \ 2 p \pi$,149914,1765.76,34.39,7.403,0.216,5020,1.0667,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,C ${ }^{1} \Sigma_{g}^{+} \ 3 p \sigma$,157415,1653.43,41.04,7.052,0.215,5080,1.0929,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,D $^{1} \Sigma_{u}^{+} \ 3 s \sigma$,165085,1746.43,35.54,7.365,0.218,5240,1.0694,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,E $^{1} \Pi_{g} \ 3 p \pi$,165911,1721.19,34.76,7.2705,0.2156,5200,1.0764,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
He2,4,4,2.00130163,F $^{1} \Sigma_{u}^{+} \ 3 d \sigma$,165813,1564.25,40,7.098,0.246,5210,1.0894,,22.223,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-76,
