Molecule name,Electronic state,Reduced mass,Te cm^{-1},omega_e cm^{-1},omega_ex_e cm^{-1},Be cm^{-1},alpha_e cm^{-1},De 10^{-7}cm^{-1},Re \AA,D0 eV,IP eV,Reference,Date of reference
Li2,A $^1 \Sigma_{u}^{+}$,3.5080024,14068.35,255.47,1.582,0.4975,0.0054,75.4,3.1079,1.046,5,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77
Li2,B $^1 \Pi_{u}$,3.5080024,20436.01,270.12,2.671,0.5577,0.0085,94.5,2.935,1.046,5,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77
Li2,C $^1 \Pi_{u}$,3.5080024,30550.6,237.9,3,0.5075,0.00973,90,3.077,1.046,5,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77
Li2,D $^1 \Pi_{u}$,3.5080024,34518,201.68,,0.4628,0.0073,114,3.222,1.046,5,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77
LiBe,X $^2 \Sigma^{+}$,3.921036294,0,326.2,9.5,,,,2.59,0.326483968,,"[1]R. Schlachta, I. Fischer, P. Rosmus and V. E. Bondybey, Chem. Phys. Lett., 1990, 170, 485Р491. [2] Persinger, T., Han, J. and Heaven, M., 2021. Electronic Spectroscopy and Photoionization of LiBe. The Journal of Physical Chemistry A, 125(37), pp.8274-8281.",[1]1990 [2]2021
LiBe,C $^2 \Pi,3.921036294,19203,188,,,,,3.04,0.326483968,,"[1] R. Schlachta, I. Fischer, P. Rosmus and V. E. Bondybey, Chem. Phys. Lett., 1990, 170, 485Р491.",[1] 1990
LiBr,X,6.430232558,0,563.16,3.53,0.555399,0.0056442,2.159,2.170427,4.33,10,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
LiCa,X $^2 \Sigma^{+}$,5.916361428,0,202,,,,,3.36,0.841264,,"[1] A. Stein, M. Ivanova, A. Pashov, H. Kno¬ckel and E. Tiemann, J. Chem. Phys., 2013, 138, 114306. 
[2] Wu, C., Ihle, H. and Gingerich, K., 1983. A mass spectrometric study of the alkaline earth diatomic molecules. Dissociation energies of Mg2, Ca2 and CaLi. International Journal of Mass Spectrometry and Ion Physics, 47, pp.235-238.
[4] Pototschnig, J., Meyer, R., Hauser, A. and Ernst, W., 2017. Vibronic transitions in the alkali-metal (Li, Na, K, Rb) Р alkaline-earth-metal (Ca, Sr) series: A systematic analysis of de-excitation mechanisms based on the graphical mapping of Frank-Condon integrals. Physical Review A, 95(2).",[1] 2013 [2] 1983 [4] 2017
LiCa,1 $^2 \Pi$,5.916361428,5345,293.53,1.09,0.335,0.00282,,2.906,0.841264,,"[5] Gerschmann, Julia: Hochauflљsende Spektroskopie der Alkali-Erdalkali-Molekџle KCa und LiCa. Hannover : Gottfried Wilhelm Leibniz UniversitЉt, Diss., 2021, 111 S., DOI: https://doi.org/10.15488/11717",[5] 2021
LiCa,2 $^2 \Sigma^{+}$,5.916361428,9572.092,202.3678,0.3516,0.2325152,0.0012477,,3.48514,0.841264,,"[1] A. Stein, M. Ivanova, A. Pashov, H. Kno¬ckel and E. Tiemann, J. Chem. Phys., 2013, 138, 114306. 
[2] Wu, C., Ihle, H. and Gingerich, K., 1983. A mass spectrometric study of the alkaline earth diatomic molecules. Dissociation energies of Mg2, Ca2 and CaLi. International Journal of Mass Spectrometry and Ion Physics, 47, pp.235-238.
[4] Pototschnig, J., Meyer, R., Hauser, A. and Ernst, W., 2017. Vibronic transitions in the alkali-metal (Li, Na, K, Rb) Р alkaline-earth-metal (Ca, Sr) series: A systematic analysis of de-excitation mechanisms based on the graphical mapping of Frank-Condon integrals. Physical Review A, 95(2).",[1] 2013 [2] 1983 [4] 2017
LiCa,4 $^2 \Sigma^{+}$,5.916361428,15240.07,287.84,,,,,3.425,0.841264,,"[5] Gerschmann, Julia: Hochauflљsende Spektroskopie der Alkali-Erdalkali-Molekџle KCa und LiCa. Hannover : Gottfried Wilhelm Leibniz UniversitЉt, Diss., 2021, 111 S., DOI: https://doi.org/10.15488/11717",[5] 2021
LiCa,3 $^2 \Pi$,5.916361428,19285,144.5,,,,,3.5451,0.841264,,"[1] A. Stein, M. Ivanova, A. Pashov, H. Kno¬ckel and E. Tiemann, J. Chem. Phys., 2013, 138, 114306. [2] Wu, C., Ihle, H. and Gingerich, K., 1983. A mass spectrometric study of the alkaline earth diatomic molecules. Dissociation energies of Mg2, Ca2 and CaLi. International Journal of Mass Spectrometry and Ion Physics, 47, pp.235-238.",[1] 2013 [2] 1983
LiCa,4 $^2 \Pi$,5.916361428,22257.8,178.5,,,,,,0.841264,,"[3] Russon, L. M.; Rothschopf, G. K.; Morse, M. D.; Boldyrev, A. I.; Simons, J. Two-Photon Ionization Spectroscopy and All-Alectron Ab Initio Study of LiCa. J. Chem. Phys. 1998, 109, 6655?6665.  [2] Wu, C., Ihle, H. and Gingerich, K., 1983. A mass spectrometric study of the alkaline earth diatomic molecules. Dissociation energies of Mg2, Ca2 and CaLi. International Journal of Mass Spectrometry and Ion Physics, 47, pp.235-238.",[3] 1998 [2] 1983
LiCl,X,5.833333333,0,643.31,4.501,0.70652224,0.00800961,3.4087,2.020673,4.84,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
LiCs,X $^1 \Sigma$,6.596496182,0,,,,,,3.6681,0.717051546,,"[1] Mabrouk, N., Berriche, H., Ouada, H. and Gadea, F., 2010. Theoretical Study of the LiCs Molecule: Adiabatic and Diabatic Potential Energy and Dipole Moment. The Journal of Physical Chemistry A, 114(24), pp.6657-6668. 
[2] Staanum, P., Pashov, A., Knљckel, H. and Tiemann, E., 2007. X 1 ? + and a 3 ? + states of LiCs studied by Fourier-transform spectroscopy. Physical Review A, 75(4).",[1] 2010 [2]2007
LiCs,b $^3 \Pi_{0}$,6.596496182,9416.96,173.012,0.3793,0.189,-0.000474,-0.445,3.662,0.717051546,,"[4] Grochola, A., Szczepkowski, J., Jastrzebski, W. and Kowalczyk, P., 2014. Study of the A1?+ and b3?0 states in LiCs by a polarization labelling spectroscopy technique.КJournal of Quantitative Spectroscopy and Radiative Transfer, 145, pp.147-152.",[4] 2014
LiCs,A $^1 \Sigma^{+}$,6.596496182,10757.21,101.771,0.1003,0.12923,0.00103,9.66,4.424,0.717051546,,"[4] Grochola, A., Szczepkowski, J., Jastrzebski, W. and Kowalczyk, P., 2014. Study of the A1?+ and b3?0 states in LiCs by a polarization labelling spectroscopy technique.КJournal of Quantitative Spectroscopy and Radiative Transfer, 145, pp.147-152.",[4] 2014
LiCs,B $^1 \Pi$,6.596496182,16012.217,,,,,,4.12178,0.717051546,,"[1] Mabrouk, N., Berriche, H., Ouada, H. and Gadea, F., 2010. Theoretical Study of the LiCs Molecule: Adiabatic and Diabatic Potential Energy and Dipole Moment. The Journal of Physical Chemistry A, 114(24), pp.6657-6668. 
[2] Stein, A., Pashov, A., Staanum, P. et al. The B1? and D1? states of LiCs studied by Fourier-transform spectroscopy. Eur. Phys. J. D 48, 177Р185 (2008). https://doi.org/10.1140/epjd/e2008-00089-y",[1] 2010 [3] 2008
LiCs,D $^1 \Pi$,6.596496182,18293.37,,,,,,4.055,0.717051546,,"[1] Mabrouk, N., Berriche, H., Ouada, H. and Gadea, F., 2010. Theoretical Study of the LiCs Molecule: Adiabatic and Diabatic Potential Energy and Dipole Moment. The Journal of Physical Chemistry A, 114(24), pp.6657-6668. [2] Stein, A., Pashov, A., Staanum, P. et al. The B1? and D1? states of LiCs studied by Fourier-transform spectroscopy. Eur. Phys. J. D 48, 177Р185 (2008). https://doi.org/10.1140/epjd/e2008-00089-y",[1] 2010 [3] 2008
LiD,X $^1\Sigma^+$,1.56487081,0,1054.8,12.935,4.2394,0.1,2756,1.5941,2.4509,7.7,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-77
LiD,A $^1\Sigma^+$,1.56487081,26513,205.6,,1.6125,,3508,2.59,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-77
LiD,B $^1\Pi$,1.56487081,34908.8,178.7,29.13,1.904,0.425,4400,2.379,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-77
LiD,X $^1\Sigma^+$,1.56487053,0,1055.00696,13.18954,4.233182,0.091882,,1.595304,2.45102,,"W. C. Stwalley, W. T. Zemke, J. Phys. Chem. Ref. Data 22, 87 (1993)",Aug-92
LiD,B $^1\Pi$,1.56487053,34906.13,197.142,44.953,1.92633,0.45854,,2.3821,0.02516,,"W. C. Stwalley, W. T. Zemke, J. Phys. Chem. Ref. Data 22, 87 (1993)",Aug-92
LiD,X $^1\Sigma^+$,1.50887167,0,1074.40587,13.67905,4.390281,0.097044,,1.595304,2.45102,,"W. C. Stwalley, W. T. Zemke, J. Phys. Chem. Ref. Data 22, 87 (1993)",Aug-92
LiD,A $^1\Sigma^+$,1.50887167,26512.44,181.8458,-15.88681,1.657505,-0.042256,,2.5971,1.06452,,"W. C. Stwalley, W. T. Zemke, J. Phys. Chem. Ref. Data 22, 87 (1993)",Aug-92
LiD,B $^1\Pi$,1.50887167,34906.1,200.767,46.621,1.99782,0.4843,,2.3821,0.02497,,"W. C. Stwalley, W. T. Zemke, J. Phys. Chem. Ref. Data 22, 87 (1993)",Aug-92
LiF,X,5.115384615,0,910.34,7.929,1.3452576,0.0202868,1.1754,1.563864,5.91,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
LiH,X $^1\Sigma^+$,0.88123818,0,1405.07781,22.68035,7.513395,0.215263,20287.7,1.595584,2.4288,,"W. C. Stwalley, W. T. Zemke, J. Phys. Chem. Ref. Data 22, 87 (1993)",Aug-92
LiH,A $^1\Sigma^+$,0.88123818,26509.77,234.50825,-28.8135,2.800056,-0.1208,8681.6,2.59628,1.0601,,"W. C. Stwalley, W. T. Zemke, J. Phys. Chem. Ref. Data 22, 87 (1993)",Aug-92
LiH,B $^1\Pi$,0.88123818,34902.48,262.474,79.904,3.42817,1.103,,2.3834,0.02175,,"W. C. Stwalley, W. T. Zemke, J. Phys. Chem. Ref. Data 22, 87 (1993)",Aug-92
LiH,X $^1\Sigma^+$,0.86319755,0,1419.68479,23.15436,7.67041,0.222047,,1.595584,2.42793,,"W. C. Stwalley, W. T. Zemke, J. Phys. Chem. Ref. Data 22, 87 (1993)",Aug-92
LiH,A $^1\Sigma^+$,0.86319755,26509.68,236.93379,-29.41569,2.858445,-0.124607,,2.59647,1.05992,,"W. C. Stwalley, W. T. Zemke, J. Phys. Chem. Ref. Data 22, 87 (1993)",Aug-92
LiH,B $^1\Pi$,0.86319755,34902.5,265.202,81.574,3.49982,1.1377,,2.3834,0.02162,,"W. C. Stwalley, W. T. Zemke, J. Phys. Chem. Ref. Data 22, 87 (1993)",Aug-92
LiH,X,0.875,0,1405.65,23.2,7.5131,0.2132,0.8617,1.5957,2.42871,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
LiI,X,6.634328358,0,498.16,3.39,0.443182,0.00409,1.448,2.391924,3.54,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
LiK,X $^1 \Sigma^{+}$,5.894550664,0,207,30.2271,0.265,,,3.27,0.81091,4.69,"[1] Mџller, W. and Meyer, W., 1984. Ground?state properties of alkali dimers and their cations (including the elements Li, Na, and K) from ab initio calculations with effective core polarization potentials. The Journal of Chemical Physics, 80(7), pp.3311-3320. [2] F. Emgelke, Faraday Discuss. Chem. Soc. 71, 357 (1981) [3] Zmbov, K., Wu, C. and Ihle, H., 1977. A mass spectrometric study of heteronuclear diatomic alkali metal molecules. Dissociation energies and ionization potentials of NaLi, KLi, and NaK. The Journal of Chemical Physics, 67(10), pp.4603-4607.",[1] 1984 [2] 1981 [3]1977
LiK,A $^1 \Sigma^{+}$,5.894550664,12097.11,137.0821,0.8882,,,,3.947,0.81091,4.69,"[4] Grochola, A., Szczepkowski, J., Jastrzebski, W. and Kowalczyk, P., 2012. The electronic state of KLi molecule.КChemical Physics Letters, 535, pp.17-20.",[4] 2012
LiMg,X 1 $^2 \Sigma^{+}$,5.399123248,0,187.3,6.16,0.32,,,3.1,0.165323985,4.77029,"[1] Persinger, T., Han, J. and Heaven, M., 2021. Electronic Spectroscopy and Photoionization of LiMg.КThe Journal of Physical Chemistry A, 125(17), pp.3653-3663.",[1] 2021
LiMg,1 $^2 \Pi$,5.399123248,6147,349.9,2.66,,,,,0.165323985,4.77029,"[1] Persinger, T., Han, J. and Heaven, M., 2021. Electronic Spectroscopy and Photoionization of LiMg.КThe Journal of Physical Chemistry A, 125(17), pp.3653-3663.",[1] 2021
LiMg,2 $^2 \Sigma$,5.399123248,10387,,,,,,,0.165323985,4.77029,"[1] Persinger, T., Han, J. and Heaven, M., 2021. Electronic Spectroscopy and Photoionization of LiMg.КThe Journal of Physical Chemistry A, 125(17), pp.3653-3663.",[1] 2021
LiMg,2 $^2 \Pi$,5.399123248,18154,186.3,1.5,0.302,,,,0.165323985,4.77029,"[1] Persinger, T., Han, J. and Heaven, M., 2021. Electronic Spectroscopy and Photoionization of LiMg.КThe Journal of Physical Chemistry A, 125(17), pp.3653-3663.",[1] 2021
LiNa,X $^1 \Sigma^{+}$,5.331381845,0,256.99,1.657,0.3768,0.00381,,2.885,0.89764,4.94,"[1] Engelke, F., Ennen, G. and Meiwes, K., 1982. Laser induced fluorescence spectroscopy of NaLi in beam and bulk. Chemical Physics, 66(3), pp.391-402. [2] Zmbov, K., Wu, C. and Ihle, H., 1977. A mass spectrometric study of heteronuclear diatomic alkali metal molecules. Dissociation energies and ionization potentials of NaLi, KLi, and NaK. The Journal of Chemical Physics, 67(10), pp.4603-4607.",[1] 1982 [2] 1977
LiNa,B $^1 \Pi$,5.331381845,20100,209.63,9.979,0.3224,,,3.119,0.89764,4.94,"[1] Engelke, F., Ennen, G. and Meiwes, K., 1982. Laser induced fluorescence spectroscopy of NaLi in beam and bulk. Chemical Physics, 66(3), pp.391-402. [2] Zmbov, K., Wu, C. and Ihle, H., 1977. A mass spectrometric study of heteronuclear diatomic alkali metal molecules. Dissociation energies and ionization potentials of NaLi, KLi, and NaK. The Journal of Chemical Physics, 67(10), pp.4603-4607.",[1] 1982 [2] 1978
LiNa,A $^1 \Sigma^{+}$,5.331381845,1496,191,1.1,,,,,0.89764,4.94,"[3] Kappes, M., Marti, K., Radi, P., SchЉr, M. and Schumacher, E., 1984. Resonant two-photon ionization of LiNa. Observation and preliminary characterization of five new singlet states. Chemical Physics Letters, 107(1), pp.6-12.
[4] Neogr‡dy, P., Szalay, P., Kraemer, W. and Urban, M., 2005. Coupled-Cluster Study of Spectroscopic Constants of the Alkali Metal Diatomics: Ground and the Singlet Excited States of Na2, NaLi, NaK, and NaRb. Collection of Czechoslovak Chemical Communications, 70(7), pp.951-978.",[3] 1984 [4] 2005
LiO,X $^2\Pi$,4.8768325,0,851.5,12.5,1.202,0.0151,,1.695,3.49,8.45,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-77
LiO,A $^2\Sigma^+$,4.8768325,2330,866.7,6.7,1.349,0.0199,,1.599,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-77
LuD,X $^1\Sigma^+$,1.99117769,0,1075.35,10.3,2.3203,0.0356,433,1.9102,3.4,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-75
LuD,A $^1\Pi$,1.99117769,,,,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-75
LuD,B $^1\Pi$,1.99117769,15306.3,988.54,12.1,2.2681,0.04,444,1.932,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-75
LuF,X $^1\Sigma^+$,17.1373091,0,611.79,2.54,0.26764,0.00156,2.04,1.9171,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-76
LuF,A $^1\Sigma$,17.1373091,16164.66,587.9,2.58,0.26356,0.00162,2.08,1.9319,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-76
LuF,B $^1\Pi$,17.1373091,16799.9,576.08,2.5,0.26241,0.0016,2.03,1.9361,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-76
LuO,X,14.6586148,0,842.5,3.1,0.35806,0.0016,0.255,1.7904,7.19,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
Mg2,X $^1 \Sigma_{g}^{+}$,11.9925222,0,51.121,1.645,0.09287,0.0037761,12.17,3.8905,0.0501,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77
Mg2,A $^1 \Sigma_{u}^{+}$,11.9925222,26068.76,190.615,1.1456,0.147999,0.001316,3.34,3.08186,0.0501,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77
MgBr,X $^2\Sigma^+$,18.3945343,0,373.8,1.34,0.1645,,,2.36,3.35,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-77
MgBr,A $^2\Pi$,18.3945343,25766.9,393.9,2.04,0.1685,,,2.332,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-77
MgBr,A $^2\Pi$,18.3945343,25877,393.9,2.04,0.1685,,,2.332,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-77
MgCa,X $^1 \Sigma^{+}$,15.12970489,0,60.257,1.6525,0.0689,0.001934,,4.039,0.081946,,"[1] H. Atmanspacher, H. Scheingraber, C.R. Vidal, J. Chem. Phys. 82 (1985) 3491. 
[2] Rizkallah, G., Assaf, A. and Tohme, S., 2021. Molecular structure and properties of MgCa molecule. Chemical Physics, 550, p.111316.",[1]1985 [2]2021
MgCa,B' $^1 \Sigma^{+}$,15.12970489,17560.4,162.906,,0.102,,,3.319,0.081946,,"[1]H. Atmanspacher, H. Scheingraber, C.R. Vidal, J. Chem. Phys. 82 (1985) 3491. [2] Rizkallah, G., Assaf, A. and Tohme, S., 2021. Molecular structure and properties of MgCa molecule. Chemical Physics, 550, p.111316.",[1]1985 [2]2021
MgCa,C' $^1 \Pi$,15.12970489,21290.74,135.33,,0.094,,,3.457,0.081946,,"[1]H. Atmanspacher, H. Scheingraber, C.R. Vidal, J. Chem. Phys. 82 (1985) 3491. [2] Rizkallah, G., Assaf, A. and Tohme, S., 2021. Molecular structure and properties of MgCa molecule. Chemical Physics, 550, p.111316.",[1]1985 [2]2021
MgCa,E $^1 \Sigma^{+}$,15.12970489,22216.03,117.325,,0.0882,,,3.569,0.081946,,"[1]H. Atmanspacher, H. Scheingraber, C.R. Vidal, J. Chem. Phys. 82 (1985) 3491. [2] Rizkallah, G., Assaf, A. and Tohme, S., 2021. Molecular structure and properties of MgCa molecule. Chemical Physics, 550, p.111316.",[1]1985 [2]2021
MgCl,X $^2\Sigma^+$,14.226871,0,462.12,2.1,0.24502,0.00158,2.52,2.1991,3.29,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-77
MgCl,A $^2\Pi_{3/2}$,14.226871,26469.4,491.6,2.54,0.24914,0.0018,2.25,2.1808,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-77
MgCl,A $^2\Pi_{1/2}$,14.226871,26523.4,491.6,2.54,0.25116,0.0018,2.25,2.172,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-77
MgD,X $^2\Sigma^+$,1.85807372,0,1077.89,16.12,3.0306,0.06289,921,1.7302,1.36,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-77
MgD,A $^2\Pi$,1.85807372,19235.5,1154.75,16.675,3.219,0.06795,964,1.6778,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-77
MgD,B' $^2\Sigma^+$,1.85807372,22410.3,597.5,6.05,1.35,,250,2.596,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-77
MgF,X $^2\Sigma^+$,10.6012334,0,711.69,4.94,0.51922,0.0047,10.8,1.75,4.75,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-77
MgF,A $^2\Pi$,10.6012334,27816.1,746,3.97,0.52105,0.00327,3.8,1.7469,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-77
MgF,B $^2\Sigma^+$,10.6012334,37167.3,750.94,5.6,0.53844,0.0051,10.83,1.7185,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-77
MgH,X $^2\Sigma^+$,0.96718516,0,1495.2,31.889,5.8257,0.1859,3440,1.7297,1.34,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-77
MgH,A $^2\Pi$,0.96718516,19226.8,1598.17,31.085,6.1913,0.1931,3600,1.6778,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-77
MgH,B' $^2\Sigma^+$,0.96718516,22410.5,828,11.6,2.596,,1200,2.597,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-77
MgH,X $^2 \Sigma^{+}$,0.96,0,1495.2,31.889,5.8257,0.1859,,1.7297,,,"Knight, L.B., Jr.;КWeltner, W., Jr.,КHyperfine interaction and chemical bonding in MgH, CaH, SrH, and BaH molecules,КJ. Chem. Phys., 1971, 54, 3875.К",1971
MgH,A $^2 \Pi_{r}$,0.96,19226.8,1598.17,31.085,6.1913,0.1931,,1.6778,,,"Knight, L.B., Jr.;КWeltner, W., Jr.,КHyperfine interaction and chemical bonding in MgH, CaH, SrH, and BaH molecules,КJ. Chem. Phys., 1971, 54, 3875.К",1971
MgO,X $^1\Sigma^+$,9.9577628,0,785.06,5.18,0.5743,0.005,12.2,1.749,3.53,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-77
MgO,a $^3\Pi$,9.9577628,2400,650,,0.5,,,1.87,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-77
MgO,A $^1\Pi$,9.9577628,3563.3,664.44,3.91,0.5056,0.0046,11.8,1.864,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-77
MgO,B $^1\Sigma^+$,9.9577628,19984,824.08,4.76,0.5822,0.0045,11.4,1.7371,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-77
MgS,X $^1\Sigma^+$,13.7042725,0,528.74,2.704,0.26797,0.00176,2.76,2.1425,2.4,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-77
MgS,B $^1\Sigma^+$,13.7042725,23052.59,497.34,2.333,0.25518,0.00155,2.69,2.1956,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-77
MnD,X $^7\Sigma$,1.94287387,0,1102.5,13.9,2.8957,0.0513,795,1.731,2.6,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-75
MnD,A $^7\Pi$,1.94287387,17602,1205,17,3.244,,951,1.635,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-75
MnH,X $^7\Sigma$,0.98966996,0,1548,28.8,5.6841,0.157,3039,1.7311,2.5,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-75
MnH,A $^7\Pi$,0.98966996,17597,1623,33,6.425,0.187,3620,1.628,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-75
MnO,X $^6\Sigma$,12.38816716,0,839.6,4.7,0.435,,,1.769,3.7,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-75
MnO,A $^6\Sigma$,12.38816716,17949,762.8,9.6,0.39,,,1.868,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Mar-75
MoC,X $^3 \Sigma^{-}_{0^{+}}$,10.6660491,0,1008,,,,,1.676,,,"[1] R. S. DaBell, R. G. Meyer and M. D. Morse, J. Chem. Phys., 2001, 114, 2938Р2954. [2] D. J. Brugh, T. J. Ronningen, and M. D. Morse, J. Chem. Phys. 109, 7851 (1998).",[1] 2001 [2] 1998
N2,X $^1 \Sigma_{g}^{-}$,7.0015372,0,2358.57,14.324,1.998241,0.017318,57.6,1.097685,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77
N2,A' $^3 \Sigma_{u}^{+}$,7.0015372,50203.63,1460.64,13.872,1.4546,0.018,61.5,1.2866,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77
N2,B$^3 \Pi_{g}$,7.0015372,59619.31,1733.39,14.122,1.6374,0.01791,59,1.2126,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77
N2,W $^3 \Delta_{ u }$,7.0015372,59808,1501.4,11.6,,,,,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77
N2,B $^{3} \Sigma_{u}^{-}$,7.0015372,66272.47,1516.88,12.181,1.4733,0.01666,55.6,1.2784,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77
N2,a' $^1 \Sigma_{g}^{-}$,7.0015372,68152.66,1530.254,,12.0747,1.4799,0.1657,5.55,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77
