Molecule name,Electronic state,Reduced mass,Te cm^{-1},omega_e cm^{-1},omega_ex_e cm^{-1},Be cm^{-1},alpha_e cm^{-1},De 10^{-7}cm^{-1},Re \AA,D0 eV,IP eV,Reference,Date of reference
As2,a ,37.4608,24641.2,337,0.83,0.08664,0.0003,,2.279,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76
As2,d ,37.4608,30818.8,336.7,1.36,0.09222,0.00033,,2.209,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76
As2,A ,37.4608,40349,260.3,,0.07202,,,2.5,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76
As2,B ,37.4608,40925,243.6,,0.0712,,,2.5,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76
As2,F ,37.4608,52221,386,,,,,,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76
As2,G ,37.4608,54586,377,,,,,,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76
As2,H ,37.4608,61726,364,,,,,,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76
As2,M ,37.4608,69607,365,,,,,,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76
As2,N ,37.4608,72137,319,,,,,,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76
AsF,X$_1$ $^3\Sigma^-$,15.1553535,0,685.78,3.12,0.3648,0.0024,4.5,1.736,4.2,9.4,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-76
AsF,X$_2$ $^3\Sigma^-$,15.1553535,138.7,685.5,2.95,0.3691,0.0028,4.5,1.736,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-76
AsF,a $^1\Delta$,15.1553535,7053.5,694.44,3.06,0.3707,0.0026,4.4,1.7322,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-76
AsF,b $^1\Sigma^+$,15.1553535,13648.6,697.34,3.08,0.3719,0.0028,4.7,1.7294,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-76
AsF,A $^3\Pi_0^-$,15.1553535,25719,412.21,1.32,0.2904,0.0018,6,1.954,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-76
AsF,A $^3\Pi_0^+$,15.1553535,25751,419.8,,0.2914,0.0018,6,1.954,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Jan-76
